source_id	split_tag	count
ped-gramm	n	80
van-data	n	70
van-data		68
van-data	Gnr	67
hil-data		62
ped-gramm	Gen	55
van-data	Gen	46
hil-data	n	45
ped-gramm	v	44
van-data	Ncl	43
hil-data	Gnr	42
hil-data	v	42
van-data	v	40
ped-gramm	Gnr	37
ped-gramm	Ncl	33
hil-data	Gen	33
hil-data	Ncl	32
van-data	Plu	24
hil-data	Plu	23
hil-data	Erg	23
ped-gramm	Erg	21
van-data	Dim	19
ped-gramm	Ant	18
ped-gramm		16
ped-gramm	Apl	16
van-data	Ant	16
van-data	Apl	16
ped-gramm	Plu	14
hil-data	Dim	14
hil-data	Anf	14
van-data	Erg	14
van-data	Abs	12
ped-gramm	Inv	11
hil-data	Inv	11
hil-data	Dem	10
hil-data	Pro	10
hil-data	Apl	8
van-data	Inv	7
van-data	Pro	7
ped-gramm	Neg	6
hil-data	Neg	6
van-data	Der	6
van-data	Neg	6
ped-gramm	Abs	5
ped-gramm	Dim	5
van-data	Dir	5
van-data	Dem	5
van-data	c	5
van-data	Anf	5
ped-gramm	Der	4
ped-gramm	c	4
hil-data	Cla	4
hil-data	Ant	4
van-data	Cla	4
hil-data	Abs	3
van-data	PFV	3
van-data	Sgv	3
ped-gramm	Wpro	2
ped-gramm	Dem	2
ped-gramm	Coll	2
hil-data	Dir	2
hil-data	Tot	2
hil-data	canoa	2
van-data	Tot	2
ped-gramm	canoa	1
ped-gramm	PFV	1
ped-gramm	cidade	1
ped-gramm	t	1
ped-gramm	Adj	1
ped-gramm	Adv	1
ped-gramm	OBL	1
ped-gramm	vu	1
ped-gramm	Hon	1
ped-gramm	Pro	1
hil-data	c	1
hil-data	Ep	1
hil-data	Der	1
van-data	Nmlz	1
van-data	vu	1
van-data	a	1
van-data	ev	1
van-data	t	1
