source_id	split_tag	gloss_br	count
ped-gramm	Gen	3	36
van-data	Gen	3	35
van-data	Gnr	M	27
hil-data	Gen	3	24
ped-gramm	n	casa	23
hil-data	Erg	3	20
ped-gramm	Erg	3	18
hil-data	Gnr	M	16
hil-data	v	(ser|estar)_pesad(o|a)	13
hil-data	Gnr	F	13
ped-gramm	Ncl	ausente	11
ped-gramm	Gnr	M	11
hil-data	Plu	PL	11
van-data	n	beleza	11
van-data	Gnr	F	11
van-data	Abs	3	10
hil-data	Pro	1SG	9
van-data	Plu	PL	9
van-data	v	pesar	9
van-data	Ncl	indo	9
hil-data	Ncl	sentad(o|a)	8
van-data	Erg	3	8
van-data	Apl	3	8
ped-gramm	v	ficar_perto	7
ped-gramm	v	ficar(permanente)	7
ped-gramm	Gnr	masc	7
hil-data	n	beleza	7
van-data	n	casa	7
van-data	Gnr	MASC	7
ped-gramm	Apl	3M	6
ped-gramm	n	sujeira	6
hil-data	v	(ser|estar)_quente	6
van-data	n	canoa	6
van-data	n	espírito/fotografia	6
ped-gramm	Gnr	F	5
ped-gramm	Ncl	indo	5
ped-gramm	n	canoa	5
ped-gramm	n	rio	5
ped-gramm	v	aproximar	5
ped-gramm	n	comida	5
ped-gramm	Gen	1s	5
hil-data	n	mulher	5
hil-data	Ncl	indo	5
hil-data	Ncl	deitad(o|a)	5
van-data	v	ficar(permanente)	5
van-data	Ncl	deitad(o|a)	5
van-data	v	(ser|estar)_quente	5
van-data	Ncl	sentad(o|a)	5
ped-gramm	v	pesar	4
ped-gramm	Gnr	Masc	4
ped-gramm	Dim	masc	4
hil-data	Cla	cla	4
hil-data	Ncl	vindo	4
van-data	Ncl	em_pé	4
van-data	n	mulher	4
van-data	Erg	1	4
van-data	v	estar_perto	4
ped-gramm	Abs	3	3
ped-gramm	Apl	3	3
ped-gramm	n	lagoa	3
ped-gramm	n	preço	3
ped-gramm	n	navio	3
hil-data	n	preço	3
hil-data	Dim	masc	3
hil-data	Ncl	em_pé	3
hil-data	v	ficar(permanente)	3
hil-data	Gnr	MASC	3
hil-data	n	espírito/fotografia	3
hil-data	Erg	1	3
hil-data	v	estar	3
hil-data	n	casa	3
hil-data	v	aproximar	3
hil-data	Apl	3F	3
van-data	Gen	1s	3
van-data	n	lagoa	3
van-data	Cla	cla	3
van-data	n	anzol	3
van-data	n	criança	3
van-data	Gnr	masc	3
van-data	Ncl	emfrente	3
van-data	Ncl	em_frente	3
van-data	Pro	1SG	3
van-data	Pro	1SG.M	3
van-data	Apl	3M	3
van-data	n	cidade	3
van-data	Sgv	SG	3
ped-gramm	Ncl	emfrente	2
ped-gramm	v	estar em/ficar em (temporário)	2
ped-gramm	Ncl	deitado	2
ped-gramm	Apl	3F	2
ped-gramm	n	gostosura	2
ped-gramm	Der	nominalizador	2
ped-gramm	Gen	2	2
ped-gramm	Apl	com	2
ped-gramm	Neg	não	2
ped-gramm	Abs	1	2
hil-data	n	palavra	2
hil-data	Gnr	masc	2
hil-data	n	canoa	2
hil-data	Gen	1	2
hil-data	n	pé	2
hil-data	n	ovo	2
hil-data	Abs	1	2
hil-data	v	ficar	2
hil-data	n	criança	2
hil-data	canoa	n	2
van-data	n	palavra	2
van-data	Gen	2	2
van-data	n	preço	2
van-data	Gnr	FEM	2
van-data	c	COMP	2
van-data	v	alegrar-se	2
van-data	Gnr	Fem	2
van-data	Der	Nmlz	2
van-data	n	pedra	2
van-data	n	vaca	2
van-data	Gen	3Pos	2
van-data	n	leite	2
van-data	n	ovo	2
van-data	Ncl	vindo	2
van-data	Erg	1SG	2
van-data	Apl	3F	2
van-data	Plu	1|3	2
van-data	Apl	COM	2
van-data	v	ficar_perto	2
ped-gramm	canoa	n	1
ped-gramm	Apl	aplicativo de 3 pessoa feminino	1
ped-gramm	v	quente	1
ped-gramm	t	perfectivo/completivo	1
ped-gramm	v	gostar_de|querer	1
ped-gramm	n	comunidade	1
ped-gramm	v	aproximar/ficarperto	1
ped-gramm	n	cidade	1
ped-gramm	n	fotografia	1
ped-gramm	Ant	retirapossuidor,fotosemdono	1
ped-gramm	Gen	1	1
ped-gramm	c	COMP	1
ped-gramm	n	filho	1
ped-gramm	OBL	2	1
ped-gramm	v	está	1
ped-gramm	Ncl	em_pé	1
ped-gramm	Coll	todos	1
ped-gramm	v	estar	1
ped-gramm	Dim	F	1
ped-gramm	v	(ser|estar)_(duro|caro)	1
ped-gramm	vu	(ser|estar)_dur(o|a)	1
ped-gramm	c	que	1
ped-gramm	v	estarfeliz	1
ped-gramm	Erg	1	1
ped-gramm	v	ficarperto	1
ped-gramm	Plu	1pl	1
ped-gramm	Apl	2M	1
ped-gramm	Pro	2	1
ped-gramm	n	vaca	1
hil-data	Gen	2	1
hil-data	n	marido|esposa	1
hil-data	Ncl	going	1
hil-data	n	comida	1
hil-data	Gnr	FEM	1
hil-data	Abs	3	1
hil-data	v	(ser|estar)_feliz	1
hil-data	n	pedra	1
hil-data	Apl	3	1
hil-data	n	vaca	1
hil-data	n	leite	1
hil-data	n	peixe[M]	1
hil-data	v	(ser|estar)_vermelho	1
hil-data	v	(ser|estar)_duro	1
hil-data	Plu	1	1
hil-data	Apl	2	1
hil-data	v	estar_perto	1
hil-data	Plu	1|3	1
hil-data	Apl	COM	1
hil-data	n	filha	1
hil-data	Ncl	deitado	1
hil-data	Pro	1	1
van-data	Cla	Fem	1
van-data	n	homem	1
van-data	Dim	F	1
van-data	n	marido|esposa	1
van-data	Dir	hither	1
van-data	v	diminuir	1
van-data	n	comida	1
van-data	Gnr	Masc	1
van-data	Ncl	going	1
van-data	n	filho	1
van-data	Dir	para_fora	1
van-data	Tot	totalitativo	1
van-data	n	cônjuge	1
van-data	v	(ser|estar)_pesado	1
van-data	Dim	masc	1
van-data	Ncl	deitad(o)(a)	1
van-data	n	peixe	1
van-data	v	(ser|estar)_vermelho	1
van-data	Neg	não	1
van-data	vu	(ser|estar)_duro	1
van-data	Gen	1	1
van-data	Dir	intesificador	1
van-data	Abs	1SG	1
van-data	v	(ser|estar)_pesad(o|a)	1
van-data	Gnr	M??	1
van-data	Abs	1	1
van-data	n	beiju	1
van-data	Ncl	deitado	1
van-data	v	aproximar	1
