sent_id,text,gold_word_count,old_word_count,new_word_count,old_tokenization_exact,new_tokenization_exact,old_mwt_exact,new_mwt_exact,old_text,new_text
ped-gramm-1,ajo liwatece ja iwaGadi.,5,5,5,True,True,True,True,ajo liwatece ja iwaGadi.,ajo liwatece ja iwaGadi.
ped-gramm-2,ajo liwatece etadi weiigi.,5,5,5,True,True,True,True,ajo liwatece etadi weiigi.,ajo liwatece etadi weiigi.
ped-gramm-3,ajo niwatece etadi digoida.,5,5,5,True,True,True,True,ajo niwatece etadi digoida.,ajo niwatece etadi digoida.
ped-gramm-4,niwatece iwaGadi.,3,3,3,True,True,True,True,niwatece iwaGadi.,niwatece iwaGadi.
ped-gramm-5,niwatece etadi weiigi.,4,4,4,True,True,True,True,niwatece etadi weiigi.,niwatece etadi weiigi.
ped-gramm-6,ajo niwatece ipegitege weiigi.,5,5,5,True,True,True,True,ajo niwatece ipegitege weiigi.,ajo niwatece ipegitege weiigi.
ped-gramm-7,liGeladi Maria aGipegetege.,5,5,5,True,True,True,True,liGeladi Maria aGipegetege.,liGeladi Maria aGipegetege.
ped-gramm-8,ica liGeladi ipegetege.,4,4,4,True,True,True,True,ica liGeladi ipegetege.,ica liGeladi ipegetege.
ped-gramm-9,liGeladi idei nigotaGa.,4,4,4,True,True,True,True,liGeladi idei nigotaGa.,liGeladi idei nigotaGa.
ped-gramm-10,ica liGeladi ipegitegi.,4,4,4,True,True,True,True,ica liGeladi ipegitegi.,ica liGeladi ipegitegi.
ped-gramm-11,ica Maria looligi alidi.,6,6,6,True,True,True,True,ica Maria looligi alidi.,ica Maria looligi alidi.
ped-gramm-12,ica looligi lidi.,4,4,4,True,True,True,True,ica looligi lidi.,ica looligi lidi.
ped-gramm-13,ica looligi dapiko.,4,4,4,True,True,True,True,ica looligi dapiko.,ica looligi dapiko.
ped-gramm-14,ica looligi ja dapiko.,5,5,5,True,True,True,True,ica looligi ja dapiko.,ica looligi ja dapiko.
ped-gramm-15,ica looligi lidGegi.,4,4,4,True,True,True,True,ica looligi lidGegi.,ica looligi lidGegi.
ped-gramm-17,ica loigi ijo niganigi ipegitegi GanigotGa.,7,7,7,True,True,True,True,ica loigi ijo niganigi ipegitegi GanigotGa.,ica loigi ijo niganigi ipegitegi GanigotGa.
ped-gramm-18,ica lidGegi loligi idei liGeladi.,6,6,6,True,True,True,True,ica lidGegi loligi idei liGeladi.,ica lidGegi loligi idei liGeladi.
ped-gramm-23,ica nioladi lodawa libinienigi.,5,5,5,True,True,True,True,ica nioladi lodawa libinienigi.,ica nioladi lodawa libinienigi.
ped-gramm-27,iGeladi idei mijonaigi naGajo.,7,7,7,True,True,True,True,iGeladi idei mijonaigi naGajo.,iGeladi idei mijonaigi naGajo.
ped-gramm-30,Eyodi ane niganaGacanajo.,4,5,4,False,True,True,True,Eyodi ane *T* niganaGacanajo.,Eyodi ane niganaGacanajo.
ped-gramm-33,iGeladi ipegitaGagi.,3,3,3,True,True,True,True,iGeladi ipegitaGagi.,iGeladi ipegitaGagi.
ped-gramm-34,iGeladi ipegitegi liGeladi.,4,4,4,True,True,True,True,iGeladi ipegitegi liGeladi.,iGeladi ipegitegi liGeladi.
ped-gramm-35,iGeladi ipegitegi naigi ane napioi.,6,7,6,False,True,True,True,iGeladi ipegitegi naigi ane *T* napioi.,iGeladi ipegitegi naigi ane napioi.
ped-gramm-36,iGeladi ipegitegi naigi me napioi.,6,6,6,True,True,True,True,iGeladi ipegitegi naigi me napioi.,iGeladi ipegitegi naigi me napioi.
ped-gramm-37,iGeladi aGipegitegi weigi.,5,5,5,True,False,True,True,iGeladi aGipegitegiweigi.,iGeladi aGipegitegiweiigi.
